clause_id,variant_book,similarity,base_text,variant_text,notable_differences
SHL_SONGBEN_0003,傷寒雜病論_桂本,0.923,太陽病，或已發熱，或未發熱，必惡寒，體痛，嘔逆，脈陰陽俱緊者，名為傷寒。,"6.3
太陽病，或已發熱，或未發熱，必惡寒，體痛，嘔逆，脈陰陽俱緊者，名曰傷寒。","宋本獨有用字：為；傷寒雜病論_桂本獨有用字：
.36曰"
SHL_SONGBEN_0004,傷寒雜病論_桂本,0.963,傷寒一日，太陽受之，脈若靜者，為不傳。頗欲吐，若躁煩，脈數急者，為傳也。,"6.4
傷寒一日，太陽受之。脈若靜者，為不傳；頗欲吐，若躁煩，脈數急者，此為傳也。","傷寒雜病論_桂本獨有用字：
.46此；"
SHL_SONGBEN_0005,傷寒雜病論_桂本,0.909,傷寒二三日，陽明、少陽證不見者，為不傳也。,"6.5
傷寒二三日，陽明、少陽證不見者，此為不傳也。","傷寒雜病論_桂本獨有用字：
.56此"
SHL_SONGBEN_0011,傷寒雜病論_桂本,0.8,病人身大熱，反欲得衣者，熱在皮膚，寒在骨髓也；身大寒，反不欲近衣者，寒在皮膚，熱在骨髓也。,"6.11
病人身大熱，反欲得衣者，熱在皮膚，寒在骨髓也。","宋本獨有用字：不近；；傷寒雜病論_桂本獨有用字：
.16"
SHL_SONGBEN_0012,傷寒雜病論_桂本,0.8,太陽中風，陽浮而陰弱，陽浮者，熱自發，陰弱者，汗自出。嗇嗇惡寒，淅淅惡風，翕翕發熱，鼻鳴乾嘔者，桂枝湯主之。,"6.12
病人身大寒，反不欲近衣者，寒在皮膚，熱在骨髓也
。
6.13
太陽中風，陽浮而陰弱。陽浮者，熱自發；陰弱者，汗自出。嗇嗇惡寒，淅淅惡風，翕翕發熱，鼻鳴","傷寒雜病論_桂本獨有用字：
.1236不也人反在大欲病皮膚衣身近骨髓；"
SHL_SONGBEN_0013,傷寒雜病論_桂本,0.909,太陽病，頭痛，發熱，汗出，惡風，桂枝湯主之。,"6.14
太陽病，頭痛，發熱，汗出，惡風，桂枝湯主之。（方見前）","傷寒雜病論_桂本獨有用字：
.146前方見（）"
SHL_SONGBEN_0014,傷寒雜病論_桂本,0.81,太陽病，項背強几几，反汗出惡風者，桂枝加葛根湯主之。,"6.15
太陽病，項背強儿儿，及汗出、惡風者，桂枝加葛根湯主之。","宋本獨有用字：几反；傷寒雜病論_桂本獨有用字：
.156、儿及"
SHL_SONGBEN_0015,傷寒雜病論_桂本,0.941,太陽病，下之後，其氣上衝者，可與桂枝湯，方用前法；若不上衝者，不得與之。,"6.16
太陽病，下之後，其氣上衝者，可與桂枝湯，方用前法；若不上衝者，不可與之。","宋本獨有用字：得；傷寒雜病論_桂本獨有用字：
.16"
SHL_SONGBEN_0016,傷寒雜病論_桂本,0.691,太陽病三日，已發汗，若吐、若下、若溫針，仍不解者，此為壞病，桂枝不中與之也。觀其脈證，知犯何逆，隨證治之。桂枝本為解肌，若其人脈浮緊，發熱汗不出者，不可與之也。,"6.17
太陽病三日，已發汗，若吐，若下，若溫針，仍不解者，此為壞病，桂枝湯不可與也。觀其脈證，知犯何逆，隨證治之。","宋本獨有用字：、中人令出勿常本浮熱緊肌誤識須；傷寒雜病論_桂本獨有用字：
.167湯"
SHL_SONGBEN_0018,傷寒雜病論_桂本,0.833,喘家作，桂枝湯加厚朴、杏子佳。,"6.19
喘家作，桂枝湯加厚朴、杏子與之佳。","傷寒雜病論_桂本獨有用字：
.169之與"
SHL_SONGBEN_0022,傷寒雜病論_桂本,0.686,若微寒者，桂枝去芍藥加附子湯主之。,"6.23
太陽病，下之後，其人惡寒者，桂枝去芍藥加附子湯主之。","宋本獨有用字：微若；傷寒雜病論_桂本獨有用字：
.236下人其太後惡病陽"
SHL_SONGBEN_0024,傷寒雜病論_桂本,0.864,太陽病，初服桂枝湯，反煩不解者，先刺風池、風府，卻與桂枝湯則愈。,"6.25
太陽病，初服桂枝湯，反煩不解者，先刺風府、風池，卻與桂枝湯。","宋本獨有用字：則愈；傷寒雜病論_桂本獨有用字：
.256"
