table,term,count
symptom_frequency,發熱,62
symptom_frequency,汗出,49
symptom_frequency,下利,40
symptom_frequency,惡寒,26
symptom_frequency,厥,26
symptom_frequency,譫語,26
symptom_frequency,小便不利,24
symptom_frequency,嘔,23
symptom_frequency,渴,20
symptom_frequency,腹滿,14
symptom_frequency,頭痛,13
symptom_frequency,不能食,13
symptom_frequency,惡風,12
symptom_frequency,煩躁,12
symptom_frequency,不大便,12
symptom_frequency,自汗出,11
symptom_frequency,無汗,11
symptom_frequency,不惡寒,10
symptom_frequency,心煩,10
symptom_frequency,喘,10
symptom_frequency,咳,10
symptom_frequency,潮熱,10
symptom_frequency,乾嘔,9
symptom_frequency,微熱,9
symptom_frequency,小便利,9
symptom_frequency,噦,9
symptom_frequency,發黃,8
symptom_frequency,心下痞硬,8
symptom_frequency,燥屎,8
symptom_frequency,身疼痛,7
symptom_frequency,衄,7
symptom_frequency,渴欲飲水,7
symptom_frequency,微煩,7
symptom_frequency,下利清穀,7
symptom_frequency,頭汗出,7
symptom_frequency,心下痞,7
symptom_frequency,手足厥冷,7
symptom_frequency,躁煩,6
symptom_frequency,小便難,6
symptom_frequency,大汗出,6
symptom_frequency,自下利,6
symptom_frequency,短氣,6
symptom_frequency,無大熱,6
symptom_frequency,心中懊憹,6
symptom_frequency,手足溫,6
symptom_frequency,小便自利,6
symptom_frequency,能食,6
symptom_frequency,便膿血,6
symptom_frequency,吐利,6
symptom_frequency,胸滿,5
symptom_frequency,小便數,5
symptom_frequency,微惡寒,5
symptom_frequency,厥逆,5
symptom_frequency,微喘,5
symptom_frequency,不渴,5
symptom_frequency,心下悸,5
symptom_frequency,往來寒熱,5
symptom_frequency,大便硬,5
symptom_frequency,咽痛,5
symptom_frequency,自利,5
symptom_frequency,四逆,5
symptom_frequency,身重,4
symptom_frequency,直視,4
symptom_frequency,反汗出,4
symptom_frequency,身熱,4
symptom_frequency,頭眩,4
symptom_frequency,腹中痛,4
symptom_frequency,身黃,4
symptom_frequency,口乾,4
symptom_frequency,心下硬,4
symptom_frequency,口燥,4
symptom_frequency,利不止,4
symptom_frequency,欲飲水,4
symptom_frequency,大便難,4
symptom_frequency,汗多,4
symptom_frequency,頭項強痛,3
symptom_frequency,氣上衝,3
symptom_frequency,如瘧狀,3
symptom_frequency,腹脹滿,3
symptom_frequency,吐蚘,3
symptom_frequency,頸項強,3
symptom_frequency,下重,3
symptom_frequency,胸脅滿,3
symptom_frequency,反不惡寒,3
symptom_frequency,下血,3
symptom_frequency,瘀熱在裏,3
symptom_frequency,下利不止,3
symptom_frequency,嘔吐,3
symptom_frequency,口苦,3
symptom_frequency,咽乾,3
symptom_frequency,反能食,3
symptom_frequency,手足逆冷,3
symptom_frequency,不得臥,3
symptom_frequency,腹痛,3
symptom_frequency,手足厥逆,3
symptom_frequency,體痛,2
symptom_frequency,嘔逆,2
symptom_frequency,失溲,2
symptom_frequency,嗇嗇惡寒,2
symptom_frequency,翕翕發熱,2
symptom_frequency,項背強几几,2
symptom_frequency,咽中乾,2
symptom_frequency,身疼,2
symptom_frequency,無汗而喘,2
symptom_frequency,嗜臥,2
symptom_frequency,少腹滿,2
symptom_frequency,反惡寒,2
symptom_frequency,煩躁不得眠,2
symptom_frequency,消渴,2
symptom_frequency,臥起不安,2
symptom_frequency,不得眠,2
symptom_frequency,振慄,2
symptom_frequency,不欲飲食,2
symptom_frequency,脅下滿,2
symptom_frequency,日晡所發潮熱,2
symptom_frequency,溫溫欲吐,2
symptom_frequency,欲嘔,2
symptom_frequency,小便少,2
symptom_frequency,眩冒,2
symptom_frequency,漐漐汗出,2
symptom_frequency,腹中雷鳴,2
symptom_frequency,虛煩,2
symptom_frequency,反惡熱,2
symptom_frequency,不發熱,2
symptom_frequency,手足自溫,2
symptom_frequency,手足濈然汗出,2
symptom_frequency,反無汗,2
symptom_frequency,反不能食,2
symptom_frequency,脅下硬滿,2
symptom_frequency,腹滿痛,2
symptom_frequency,但欲寐,2
symptom_frequency,反發熱,2
symptom_frequency,咽中痛,2
symptom_frequency,小便復利,2
symptom_frequency,身灼熱,1
symptom_frequency,多眠睡,1
symptom_frequency,語言難出,1
symptom_frequency,驚癇,1
symptom_frequency,瘈瘲,1
symptom_frequency,身大熱,1
symptom_frequency,淅淅惡風,1
symptom_frequency,鼻鳴,1
symptom_frequency,汗不出,1
symptom_frequency,吐膿血,1
symptom_frequency,遂漏不止,1
symptom_frequency,面色反有熱色,1
symptom_frequency,反煩不解,1
symptom_frequency,大煩渴不解,1
symptom_frequency,心下滿微痛,1
symptom_frequency,腳攣急,1
symptom_frequency,喘而汗出,1
symptom_frequency,腰痛,1
symptom_frequency,骨節疼痛,1
symptom_frequency,脅痛,1
symptom_frequency,筋惕肉瞤,1
symptom_frequency,目瞑,1
